Title,Year,imdbRating,Genre,Director,Rating,Genre_Sentiment
The Shawshank Redemption,1994,9.3,Drama,Frank Darabont,9.3,0.0
The Godfather,1972,9.2,"Crime, Drama",Francis Ford Coppola,9.2,-0.5423
The Dark Knight,2008,9.0,"Action, Crime, Drama",Christopher Nolan,9.0,-0.5423
12 Angry Men,1957,9.0,"Crime, Drama",Sidney Lumet,9.0,-0.5423
Schindler's List,1993,9.0,"Biography, Drama, History",Steven Spielberg,9.0,0.0
Pulp Fiction,1994,8.9,"Crime, Drama",Quentin Tarantino,8.9,-0.5423
The Lord of the Rings: The Return of the King,2003,9.0,"Action, Adventure, Drama",Peter Jackson,9.0,0.3182
"The Good, the Bad and the Ugly",1966,8.8,"Adventure, Drama, Western",Sergio Leone,8.8,0.3182
Fight Club,1999,8.8,Drama,David Fincher,8.8,0.0
Forrest Gump,1994,8.8,"Drama, Romance",Robert Zemeckis,8.8,0.5574
