Title,Year,imdbRating,Genre,Director,Runtime,Rating,Genre_Sentiment,Director_Popularity,Budget
The Shawshank Redemption,1994,9.3,Drama,Frank Darabont,142,9.3,0.0,1,25.0
The Godfather,1972,9.2,"Crime, Drama",Francis Ford Coppola,175,9.2,-0.5423,1,6.0
The Dark Knight,2008,9.0,"Action, Crime, Drama",Christopher Nolan,152,9.0,-0.5423,1,185.0
12 Angry Men,1957,9.0,"Crime, Drama",Sidney Lumet,96,9.0,-0.5423,1,0.35
Schindler's List,1993,9.0,"Biography, Drama, History",Steven Spielberg,195,9.0,0.0,1,22.0
Pulp Fiction,1994,8.9,"Crime, Drama",Quentin Tarantino,154,8.9,-0.5423,1,8.0
The Lord of the Rings: The Return of the King,2003,9.0,"Action, Adventure, Drama",Peter Jackson,201,9.0,0.3182,1,94.0
"The Good, the Bad and the Ugly",1966,8.8,"Adventure, Drama, Western",Sergio Leone,178,8.8,0.3182,1,1.2
Fight Club,1999,8.8,Drama,David Fincher,139,8.8,0.0,1,63.0
Forrest Gump,1994,8.8,"Drama, Romance",Robert Zemeckis,142,8.8,0.5574,1,55.0
